term_vs,acronym_abrev,term_eng,criterion_and_use
SHEAR WALL vs TUNNEL WALL vs DEMISING WALL vs PARTITION,TNL WALL,Tunnel Wall,"Pared “tipo tunel” (para estructuras modulares o repetitivas, agiliza la construcción)."
SHEAR WALL vs TUNNEL WALL vs DEMISING WALL vs PARTITION,DMS WALL,Demising Wall,Pared divisoria / Medianera.
SHEAR WALL vs TUNNEL WALL vs DEMISING WALL vs PARTITION,PTN,Partition,"Tabique / Pared liviana (sin función estructural, sólo de división espacial)."
RETAINING WALL vs BULKHEAD vs BATTER,RTN WALL,Retaining Wall,Muro de retención (su función es retener masas de terreno).
RETAINING WALL vs BULKHEAD vs BATTER,BULKHD,Bulkhead,"Muro de retención (retiene tierra a un lado del muro, mientras que al otro hay agua)."
RETAINING WALL vs BULKHEAD vs BATTER,BTTR,Batter,Talud.
COLUMN vs PILLAR vs PILASTER,COL,Column,Columna.
COLUMN vs PILLAR vs PILASTER,PIL,Pillar,"Pilar (frecuentemente es sinónimo de columna, pero en ocasiones también puede ser un elemento decorativo aislado, sin función estructural)."
COLUMN vs PILLAR vs PILASTER,PILSTR,Pilaster,Pilastra (usualmente de sección rectangular y semi-embebida contra una pared).
ONE WAY JOIST SLAB vs WAFFLE SLAB vs FOUNDATION SLAB vs WARP SLAB,1-W JST SLB,One Way Joist Slab,Losa unidireccional (cuyas viguetas van sólo en una dirección).
ONE WAY JOIST SLAB vs WAFFLE SLAB vs FOUNDATION SLAB vs WARP SLAB,WFL SLB,Waffle Slab,Losa bidireccional (cuyas viguetas se entrecruzan en forma de retícula).
ONE WAY JOIST SLAB vs WAFFLE SLAB vs FOUNDATION SLAB vs WARP SLAB,FND SLB,Foundation Slab,Losa de cimentación.
ONE WAY JOIST SLAB vs WAFFLE SLAB vs FOUNDATION SLAB vs WARP SLAB,WRP SLB,Warp Slab,Losa alabeada (inclinada siguiendo una curvatura alabeada).
REINFORCED CONCRETE SLAB vs POST-TENSION SLAB vs RIBBON SLAB,RC SLAB,Reinforced Concrete Slab,Losa de concreto reforzado (la losa de uso más habitual).
REINFORCED CONCRETE SLAB vs POST-TENSION SLAB vs RIBBON SLAB,PT SLAB,Post-Tension Slab,"Losa postensada (se le aplica tensión mediante cables de alta resistencia, a través de los anclajes. Ventaja → Menor cantidad de concreto y más altura libre. Desventaja → Tendencia a formarse grietas en la losa)."
REINFORCED CONCRETE SLAB vs POST-TENSION SLAB vs RIBBON SLAB,RBBN SLB,Ribbon Slab,Losa postensada (en la que los cables de alta resistencia discurren por la superficie de la losa). Útil en cimentación para usos con alta ocupación o grandes cargas.
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,BND BM,Bond Beam,Viga perimetral (suele utilizarse en los muros perimetrales de CMU).
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,TIE BM,Tie Beam,"Viga de atado (en los techos, conecta cerchas opuestas rigidizando a la estructura)."
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,UPT BM,Upturn Beam,Viga de repunte (sobresale hacia arriba respecto a la losa).
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,RK BM,Rake Beam,"Viga inclinada (para estabilidad en elementos con inclinación, como gable ends)."
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,RDG BM,Ridge Beam,Viga corona (para soportar los extremos superiores de las cerchas en la cumbrera).
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,XFR BM,Transfer Beam,Viga de transferencia (cuando las columnas/muros no están verticalmente alineados).
BOND BEAM vs TIE BEAM vs UPTURN BEAM vs RAKE BEAM vs RIDGE BEAM vs TRANSFER BEAM vs CANTILEVER BEAM,CANT BM,Cantilever Beam,"Viga en voladizo (viga fijada/empotrada en un extremo, y libre en el otro, en voladizo)."
HOIST BEAM vs DIVIDER BEAM,HST BM,Hoist Beam,Viga de elevación / de izado (típica en la parte superior de elevadores).
HOIST BEAM vs DIVIDER BEAM,DIV BM,Divider Beam,"Viga divisora (en elevadores dobles/triples, se usa cuando comparten un sólo shaft)."
PURLIN vs CHANNEL,PURL,Purlin,"Perfil metálico (uso en techos. Su grosor fino es constante en toda su sección. Se produce a partir de rollos laminados en frío, el perfil más habitual es el C o el Z)."
PURLIN vs CHANNEL,CHNL,Channel,"Perfil metálico (uso versátil. Su grosor es mayor en el alma y menor en las alas. Dado su grosor, posee una mayor resistencia, y proporciona mayor estabilidad. Se produce laminado en caliente, el perfil más habitual es el C o el MC)."
FLANGE vs WEB,FLG,Flange,Patín / Ala (en una viga o perfil metálico).
FLANGE vs WEB,WEB,Web,Alma (en una viga o perfil metálico).
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,DU,Dwelling Unit,Unidad de vivienda (término genérico para todos los tipos).
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,MU,Micro Unit,Micro-unidad de vivienda (usualmente por debajo de los 400 SF).
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,ST,Studio,"Estudio (unidad de vivienda de dimensiones reducidas, alrededor de 600 SF)."
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,UA,Unit Type A,Unidad de vivienda tipo A (1 dormitorio / 1 baño) → Área aproximada 800 SF.
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,UB,Unit Type B,"Unidad de vivienda tipo B (2 dormitorios / 2 baños) → Área aproximada 1,000 SF."
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,UC,Unit Type C,"Unidad de vivienda tipo C (3 dormitorios / 2 baños) → Área aproximada 1,200 SF."
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,UD,Unit Type D,"Unidad de vivienda tipo D (3 dormitorios / 2 baños, más espaciosa que la tipo C)."
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,PH,Penthouse,Apartamento en el último piso en edificios de gran altura (generalmente lujoso).
DU vs MU vs ST vs UA vs UB vs UC vs UD vs PH vs TH,TH,Townhome / Townhouse,"Vivienda adosada unifamiliar (generalmente de 2 o 3 pisos). Los códigos para edificios multi-family, no necesariamente aplican para TH (por ser de un único propietario). En los pisos superiores, no aplica FHA (Fair Housing Act)."
MEMORY CARE UNIT vs ASSISTED LIVING UNIT vs INDEPENDENT LIVING UNIT,MC,Memory Care Unit,"Unidad para personas con problemas de memoria (alzheimer, demencia...etc). Cuentan con un memory box en la entrada, y no disponen de cocina."
MEMORY CARE UNIT vs ASSISTED LIVING UNIT vs INDEPENDENT LIVING UNIT,AL,Assisted Living Unit,"Unidad de vivienda para personas que requieren asistencia. Cuentan con cocina pequeña (sin fogón, sólo refrigerador, fregadero y despensa)."
MEMORY CARE UNIT vs ASSISTED LIVING UNIT vs INDEPENDENT LIVING UNIT,IL,Independent Living Unit,"Unidad de vivienda para personas que no requieren asistencia. Cuentan con una cocina regular, como las de las unidades convencionales."
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,BFLD DR,Bifold Door,Puerta plegable.
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,PKT DR,Pocket Door,Puerta corrediza (que queda oculta dentro de la pared).
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,BRN DR,Barn Door,Puerta corrediza (desliza gracias a una línea de guía sobre la puerta).
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,BYP DR,Bypass Door,Puerta corrediza (similar a barn door pero con paneles deslizantes independientes).
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,SGD,Sliding Glass Door,Puerta corrediza de vidrio.
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,SW DR,Swing Door,Puerta abatible / batiente.
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,ROLL UP DR,Roll-up Door,Puerta persiana (generalmente para garages de viviendas o carports).
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,HPR DR,Hopper Door,"Puerta “tipo tolva” (típica en los trash chutes, con sistema de cierre automático)."
BIFOLD vs POCKET vs BARN vs BYPASS vs SLIDER vs SWING vs ROLL-UP vs HOPPER vs REVOLVING,REV DR,Revolving Door,Puerta giratoria.
SOLID DOOR vs FRENCH DOOR vs LOUVERED DOOR,SOLID DR,Solid Door,Puerta sólida (generalmente de madera o metálica).
SOLID DOOR vs FRENCH DOOR vs LOUVERED DOOR,FRNCH DR,French Door,Puerta con paneles de vidrio.
SOLID DOOR vs FRENCH DOOR vs LOUVERED DOOR,LVRD DR,Louvered Door,Puerta con lamas.
FIXED vs CASEMENT vs SINGLE HUNG vs DOUBLE HUNG vs ROLLER,FW,Fixed Window,Ventana fija.
FIXED vs CASEMENT vs SINGLE HUNG vs DOUBLE HUNG vs ROLLER,CSMT WIN,Casement Window,Ventana abatible.
FIXED vs CASEMENT vs SINGLE HUNG vs DOUBLE HUNG vs ROLLER,SHW,Single Hung Window,Ventana de guillotina.
FIXED vs CASEMENT vs SINGLE HUNG vs DOUBLE HUNG vs ROLLER,DHW,Double Hung Window,Ventana de guillotina doble.
FIXED vs CASEMENT vs SINGLE HUNG vs DOUBLE HUNG vs ROLLER,HRW,Horizontal Roller Window,Ventana corrediza horizontal.
STOREFRONT vs CURTAIN WALL,ST,Storefront,"Ventanal (usual en ciertas áreas comunes o zonas de uso comercial, altura max 12')."
STOREFRONT vs CURTAIN WALL,CRTN WALL,Curtain Wall,Muro cortina (sistema exterior auto-portante generalmente ligero y acristalado). Sistema recomendable para acristalamientos de más de 12' de alto.
TRANSOM vs SIDELITE,TRSM,Transom,Montante (ventana sobre una puerta/ventana).
TRANSOM vs SIDELITE,SDLT,Sidelite / Sidelight,Panel de vidrio lateral (ocasionalmente junto a algunas puertas).
LINTEL vs HEADER,LINT,Lintel,Dintel (típico sobre puertas / ventanas) → En construcción en ladrillo / bloque.
LINTEL vs HEADER,HDR,Header,Dintel (típico sobre puertas / ventanas) → En construcción en madera.
MULLION vs MUNTIN,MULL,Mullion,Cuarterón (soporte estructural del panel de vidrio).
MULLION vs MUNTIN,MUNT,Muntin,"Parteluz (división sin soporte del panel de vidrio, más delgada que el mullion)."
SILL vs THRESHOLD,SILL,Sill,Alféizar / Banquina (de una ventana).
SILL vs THRESHOLD,THOLD,Threshold,Umbral (usualmente aplica al límite inferior de una puerta).
HINGE vs LATCH vs KNOB vs HANDLE vs LOCK,HNG,Hinge,"Bisagra (normalmente una central, una abajo a 13” max y una arriba a 11.75” max)."
HINGE vs LATCH vs KNOB vs HANDLE vs LOCK,LTCH,Latch,Pestillo.
HINGE vs LATCH vs KNOB vs HANDLE vs LOCK,KNB,Knob,Pomo / manija circular (a una altura mínima de 34” desde el suelo acabado).
HINGE vs LATCH vs KNOB vs HANDLE vs LOCK,HNDLE,Handle,Manija (a una altura mínima de 34” desde el suelo acabado).
HINGE vs LATCH vs KNOB vs HANDLE vs LOCK,LOCK,Lock,Cerrojo.
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,AWN,Awning,Toldo / Marquesina (posee estructura liviana que depende del soporte de la pared).
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,CNPY,Canopy,Toldo / Marquesina (posee estructura rígida propia independiente de la pared).
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,CNPY AWN,Canopy Awning,"Toldo / Marquesina (es similar a un awning regular, solo que es más versátil ya que es retráctil y se puede extender según se necesite, mediante control remoto)."
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,LVR,Louver,Parasol / Cortasol (posee lamas inclinadas para proporcionar sombra y ventilación).
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,SHTR,Shutter,Contraventana.
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,BHM SHTR,Bahama Shutter,Tipo especial de shutter que se coloca usualmente sobre ventanas como parasol.
AWNING vs CANOPY vs CANOPY AWNING vs LOUVER vs SHUTTER vs BAHAMA SHUTTER vs EYEBROW,EYEBRW,Eyebrow,"Marquesina / Ceja (extensión horizontal en fachada, usualmente de concreto)."
HIP vs VALLEY vs RIDGE vs CRICKET,HIP,Hip,"Limatón / Limatesa (intersección entre dos vertientes del techo, en ángulo convexo)."
HIP vs VALLEY vs RIDGE vs CRICKET,VALLEY,Valley,"Limahoya (intersección entre dos vertientes del techo, en ángulo cóncavo)."
HIP vs VALLEY vs RIDGE vs CRICKET,RDG,Ridge,Cumbrera.
HIP vs VALLEY vs RIDGE vs CRICKET,RF CRKT,Roof Cricket,Techo falso (sirve para evitar que el agua se acumule contra elementos verticales).
HIP ROOF vs GABLE ROOF vs DUTCH GABLE ROOF vs MANSARD ROOF vs GAMBREL ROOF vs FLAT ROOF,HIP RF,Hip Roof,Techo a cuatro aguas.
HIP ROOF vs GABLE ROOF vs DUTCH GABLE ROOF vs MANSARD ROOF vs GAMBREL ROOF vs FLAT ROOF,GAB RF,Gable Roof,Techo a dos aguas.
HIP ROOF vs GABLE ROOF vs DUTCH GABLE ROOF vs MANSARD ROOF vs GAMBREL ROOF vs FLAT ROOF,DTCH GAB RF,Dutch Gable Roof,"Techo holandés (a cuatro aguas, pero con el remate final en dos aguas)."
HIP ROOF vs GABLE ROOF vs DUTCH GABLE ROOF vs MANSARD ROOF vs GAMBREL ROOF vs FLAT ROOF,MNSRD RF,Mansard Roof,Techo amansardado (con vertientes quebradas).
HIP ROOF vs GABLE ROOF vs DUTCH GABLE ROOF vs MANSARD ROOF vs GAMBREL ROOF vs FLAT ROOF,GMBRL RF,Gambrel Roof,Techo abuhardillado a dos aguas (techo simétrico con dos pendientes a cada lado).
HIP ROOF vs GABLE ROOF vs DUTCH GABLE ROOF vs MANSARD ROOF vs GAMBREL ROOF vs FLAT ROOF,FLT RF,Flat Roof,Techo plano.
CONCRETE TILE vs SPANISH TILE vs ASPHALT SHINGLE vs STANDING SEAM,CONC TL,Concrete Tile,"Teja de concreto (muy resistente y durable, generalmente se utiliza la plana)."
CONCRETE TILE vs SPANISH TILE vs ASPHALT SHINGLE vs STANDING SEAM,SPAN/BRRL TL,Spanish Tile / Barrel Tile,"Teja cerámica (cara pero muy resistente, sólo en pendientes mayores a 4:12)."
CONCRETE TILE vs SPANISH TILE vs ASPHALT SHINGLE vs STANDING SEAM,ASPH SHNG,Asphalt Shingle,"Teja asfáltica (más económica que la teja regular, pero menos resistente al viento)."
CONCRETE TILE vs SPANISH TILE vs ASPHALT SHINGLE vs STANDING SEAM,STND SEAM,Standing Seam,Sistema de paneles metálicos unidos con juntas verticales estancas (en techos).
BRACKET vs OUTLOOKER,BRKT,Bracket,"Ménsula (elemento decorativo típico en los aleros, con diagonal de soporte)."
BRACKET vs OUTLOOKER,OUTLKR,Outlooker,"Dentículo (elemento decorativo típico en los aleros, más pequeño que los brackets)."
TOP CHORD BEARING vs BOTTOM CHORD EXTENDED,TCB,Top Chord Bearing,Tipo de techo en el que el alero continúa bajando por debajo del TOB.
TOP CHORD BEARING vs BOTTOM CHORD EXTENDED,BCE,Bottom Chord Extended,Tipo de techo en el que el alero comienza a subir a partir del TOB.
OVERHANG vs CANTILEVER,OH,Overhang,Voladizo (también es la distancia del voladizo).
OVERHANG vs CANTILEVER,CANT,Cantilever,Voladizo (caso específico en el que la viga sólo tiene un apoyo).
ROOF ANCHOR vs TRUSS ANCHOR,RA,Roof Anchor,Anclaje de techo (sistema de seguridad en techo para evitar caída de trabajadores).
ROOF ANCHOR vs TRUSS ANCHOR,TRSS ANCHR,Truss Anchor,Anclaje de cercha (elementos de unión perimetral viga-cercha para rigidización).
FASCIA vs NAILER,FASC,Fascia,Precinta (generalmente suele ser una pieza de 2”x8”).
FASCIA vs NAILER,NLR,Nailer,"Clavador (pieza que va unida a la fascia, generalmente de 1”x2”)."
FASTENER vs BOLT vs SCREW,FSTNR,Fastener,"Mecanismo de unión entre dos piezas (incluye bolts y screws, entre otros)."
FASTENER vs BOLT vs SCREW,BOLT,Bolt,Tornillo (específicamente los que necesitan una tuerca para el cierre).
FASTENER vs BOLT vs SCREW,SCRW,Screw,Tornillo (específicamente los diseñados para encajar en el elemento sin tuerca).
WOOD vs LUMBER,WD,Wood,Madera.
WOOD vs LUMBER,LMBR,Lumber,Madera (ya cortada y/o procesada para construcción).
CEMENT vs MORTAR vs CONCRETE,CEM,Cement,Cemento (conglomerante formado con caliza y arcillas calcinadas. Su principal propiedad es endurecerse tras entrar en contacto con agua).
CEMENT vs MORTAR vs CONCRETE,MORT,Mortar,"Mortero (mezcla de cemento, arena y agua, útil para aparejar bloques constructivos. Su proporción de agua vs cemento es alta, lo que le da cualidades adhesivas. Pero su resistencia es mucho menor que la del concreto, lo que limita su uso)."
CEMENT vs MORTAR vs CONCRETE,CONC,Concrete,"Concreto (mezcla de cemento, arena y agua, junto con agregados como grava). Su proporción de agua vs cemento es baja, lo que le da cualidades resistivas. Gran vesatilidad como material estructural (en conjunción con las varillas de armado)."
TEMPERED GLASS vs FROSTED GLASS vs STAINED GLASS vs BEVELED GLASS,TGL,Tempered Glass,Vidrio temperado (tratamiento para aumentar la resistencia del vidrio al impacto).
TEMPERED GLASS vs FROSTED GLASS vs STAINED GLASS vs BEVELED GLASS,FRSTD GL,Frosted Glass,Vidrio esmerilado / opacado (tratamiento para crear un efecto translúcido).
TEMPERED GLASS vs FROSTED GLASS vs STAINED GLASS vs BEVELED GLASS,STND GL,Stained Glass,Vitral / Vidriera.
TEMPERED GLASS vs FROSTED GLASS vs STAINED GLASS vs BEVELED GLASS,BVLD GL,Beveled Glass,Vidrio biselado.
LIVE LOAD vs DEAD LOAD,LL,Live Load,Carga viva (el sobrepeso variable del edificio causado por la ocupación y el uso).
LIVE LOAD vs DEAD LOAD,DL,Dead Load,Carga muerta (se refiere al peso fijo de los elementos que forman parte del edificio).
JULIET BALCONY vs FAUX BALCONY,JLT BALC,Juliet Balcony,Balcón tipo Julieta (usualmente sobresalen max 1' y tienen un fin decorativo).
JULIET BALCONY vs FAUX BALCONY,FAUX BALC,Faux Balcony,"Balcón falso (suelen ser similares a los Julieta, sólo que abajo no tienen deck)."
DOWNSPOUT vs RAINWATER LEADER,DS,Downspout,Bajante (en la fachada del edificio). Usualmente tienen un diámetro de 3” o 4”.
DOWNSPOUT vs RAINWATER LEADER,RWL,Rainwater Leader,Bajante (en el interior del edificio). Usualmente tienen un diámetro de 4” o superior.
FLOOR DRAIN vs ROOF DRAIN vs TRENCH DRAIN vs PLANTER DRAIN,FD,Floor Drain,Drenaje (en el suelo).
FLOOR DRAIN vs ROOF DRAIN vs TRENCH DRAIN vs PLANTER DRAIN,RD,Roof Drain,Drenaje (en el techo). No puede ubicarse a más de 16' del parapeto (línea interior).
FLOOR DRAIN vs ROOF DRAIN vs TRENCH DRAIN vs PLANTER DRAIN,TD,Trench Drain,Drenaje de zanja (drenaje lineal).
FLOOR DRAIN vs ROOF DRAIN vs TRENCH DRAIN vs PLANTER DRAIN,PD,Planter Drain,Drenaje de jardinera.
OVERFLOW SCUPPER vs WEEP HOLE vs CATCH BASIN vs FLOOR CLEANOUT,OS,Overflow Scupper,Rebalse
OVERFLOW SCUPPER vs WEEP HOLE vs CATCH BASIN vs FLOOR CLEANOUT,WPHL,Weep Hole,Orificio de drenaje (típico en los trash compactors).
OVERFLOW SCUPPER vs WEEP HOLE vs CATCH BASIN vs FLOOR CLEANOUT,CB,Catch Basin,Colector / Arqueta.
OVERFLOW SCUPPER vs WEEP HOLE vs CATCH BASIN vs FLOOR CLEANOUT,FCO,Floor Cleanout,Tapa de drenaje (se utiliza para poder acceder al sistema de drenaje y limpiarlo).
RESTROOM vs TOILET vs BATHROOM vs POWDER,RR,Restroom,Baño (de áreas comunes).
RESTROOM vs TOILET vs BATHROOM vs POWDER,TLT,Toilet Room,"Aseo (de áreas comunes, exclusivamente con el inodoro y a veces con lavabo)."
RESTROOM vs TOILET vs BATHROOM vs POWDER,BATH,Bathroom,Baño (de vivienda).
RESTROOM vs TOILET vs BATHROOM vs POWDER,PWDR,Powder Room,"Aseo (de vivienda, exclusivamente con el inodoro y a veces con lavabo)."
TYPE A BATHROOM vs TYPE B BATHROOM vs USABLE BATHROOM,TYPE A BATH,Type A Bathroom,"Baño tipo A → Requieren accesibilidad (30”x48”) para todos los elementos. Esto incluye la tina/ducha, el inodoro y el lavabo (ambos si es doble). Frecuentemente, tienen forma alargada debido a la disposición de sus elementos. Si la unit tiene baño(s) tipo A, en ese caso no podrá tener ninguno de tipo Usable."
TYPE A BATHROOM vs TYPE B BATHROOM vs USABLE BATHROOM,TYPE B BATH,Type B Bathroom,"Baño tipo B → Requieren accesibilidad (30”x48”) para uno de cada tipo de elemento. Como consecuencia, este tipo de baño tiene un acceso a la tina más espacioso. Frecuentemente, tienen forma más ancha debido a la disposición de sus elementos. Si la unit tiene al menos un baño tipo B, los demás pueden ser de tipo Usable."
TYPE A BATHROOM vs TYPE B BATHROOM vs USABLE BATHROOM,USABLE BATH,Usable Bathroom,"Baño tipo Usable → No requieren accesibilidad (30”x48”) para sus elementos. Su único requisito es que su puerta tenga un clearance de 32”min, y que disponga de 30”x48” libres, para que una persona en silla de ruedas pueda entrar y cerrar. Frecuentemente, suelen ser muy compactos y de dimensiones reducidas."
PARALLEL APPROACH vs FORWARD APPROACH vs FORWARD REACH,PARAL APRCH,Parallel Approach,Acceso lateral a un elemento con un rectángulo de accesibilidad (30”x48”).
PARALLEL APPROACH vs FORWARD APPROACH vs FORWARD REACH,FWD APRCH,Forward Approach,Acceso frontal a un elemento con un rectángulo de accesibilidad (30”x48”).
PARALLEL APPROACH vs FORWARD APPROACH vs FORWARD REACH,FWD RCH,Forward Reach,"Alcance frontal (el rectángulo de 30”x48”, podrá estar bajo un elemento max 25”)."
PUSH vs PULL,PUSH,Push,Empujar → Distancias min para los distintos casos de empujar puertas abatibles: - Acceso frontal → Empujar → 4' min (perp) / 0” (paral). - Acceso frontal → Empujar → 4' min (perp) / 1' (paral) → Puertas con latch y closer. - Acceso bisagra → Empujar →  3'-6” min (perp) / 1'-10” min (paral). - Acceso bisagra → Empujar →  4' min (perp) / 1'-10” min (paral) → Latch y closer. - Acceso manija → Empujar →  3'-6” min (perp) / 2' min (paral). - Acceso manija → Empujar →  4' min (perp) / 2' min (paral) → Puertas con closer.
