module,acronym_abrev,term_eng,term_esp,definition_esp
COEFFICIENTS,NRSF,Net Rentable Square Footage,Área Neta Rentable En Pies Cuadrados,"Área neta destinada exclusivamente al alquiler, especificada en el unit mix del proyecto."
COEFFICIENTS,AVG SF/DU,Average Square Footage Per Dwelling Unit,Área Promedio Por Unidad De Vivienda,Promedio de superficie por apartamento indicado en el unit mix. Se calcula dividiendo el NRSF total de las unidades entre el número total de unidades del edificio.
COEFFICIENTS,LEAS,Leasable Area,Área Arrendable / Lucrativa,"Área arrendable total. Se calcula tomando el área bruta interior de todas las unidades habitables del edificio, excluyendo balcones y terrazas abiertas."
COEFFICIENTS,NON-LSE,Non-Leasable Area,Área No Arrendable / Comunes,"Área no arrendable o zonas comunes. Comprende los espacios de circulación y servicios técnicos indispensables que no generan renta (corredores, escaleras, elevadores, cuartos eléctricos, shafts, etc.)."
COEFFICIENTS,LSE AMEN,Leasable Amenity Area,Área De Amenidades Arrendable,Superficie destinada exclusivamente a áreas comunes de esparcimiento o amenidades sujetas a tarifa o renta.
CALCULATIONS,RAMP,Ramp,Rampa,"Especificaciones para rampas peatonales con pendientes entre 1:20 y 1:12. Pendiente 1:20 → descanso (landing) de 5' cada 40' de tramo. Pendiente 1:16 → descanso de 5' cada 40'. Pendiente 1:12 → descanso de 5' cada 30'. Requieren pasamanos (handrail) siempre que salven un desnivel mayor a 6"". Ningún tramo individual puede superar las 30"" de elevación vertical."
CALCULATIONS,GAR RAMP,Garage Ramp,Rampa De Garaje,"Especificaciones de rampas vehiculares. Rampa con parqueos adyacentes → pendiente máxima de 6.67% (con escaleras de salto integradas si aplica). Rampa exprés o sin parqueos (speed ramp) → pendiente máxima del 20%. Cuando la pendiente supera el 10%, se deben diseñar transiciones de 8' al inicio y final de la rampa con una pendiente equivalente a la mitad del porcentaje principal, evitando rozamientos inferiores del vehículo y garantizando visibilidad."
CALCULATIONS,SL,Slope,Pendiente,"Pendiente. Aplica a planos con inclinaciones menores de 1:20 (usualmente expresada en fracción por pie, ej: 1/4""/FT), común en desniveles mínimos o lógicas de drenaje pluvial. Actúa también como término genérico de pendiente."
CALCULATIONS,XSL,Cross Slope,Peralte / Pendiente Transversal,Peralte o pendiente transversal. Pendiente medida en sentido perpendicular a la directriz o pendiente principal del recorrido. El peralte máximo permitido por accesibilidad en rampas es de 1:48 (~2%).
CALCULATIONS,VENT CALC,Vent Calculation,Cálculo De Ventilación,"Algoritmo de cálculo de ventilación en techos inclinados: 1. Aislar el área de techo (roof area) a analizar (máximo 3,000 SF por sector). 2. Ventilación requerida = área del techo (SF) / 150, multiplicado por 144 para convertir a pulgadas cuadradas (SQ IN). 3. Ventilación provista = longitud de rejillas en alero (FT) x ancho de la apertura de ventilación = valor en SQ IN. 4. Si el valor provisto es menor al requerido, añadir tejas/rejillas de ventilación adicionales (vent tiles). 5. Número de unidades complementarias = (ventilación requerida - ventilación provista) / área unitaria del vent tile."
CALCULATIONS,GAR VENT,Garage Ventilation,Cálculo De Ventilación En Garajes,Parámetros de validación para la ventilación natural en garajes (sin sistemas mecánicos por nivel/tier): A) longitud total de aperturas en fachada debe ser >40% del perímetro total del nivel. B) el área total neta de aperturas de ventilación en fachada debe ser >20% del área bruta total de la fachada del nivel analizado por cada plano lateral. C) condición geométrica: el perímetro total multiplicado por 1.4 debe ser menor que el área en planta del nivel.
CALCULATIONS,TRVL DIST,Travel Distance,Distancia De Evacuación,Distancia máxima de evacuación desde el punto más remoto hasta la salida segura. En tipologías residenciales con sistema de rociadores (sprinklers): máx. 250'. Sin sistema de rociadores: máx. 200'. La distancia máxima permitida para pasillos sin salida (dead-end corridors) es de 50'.
CALCULATIONS,EGRSS CAPAC,Egress Capacity,Capacidad De Evacuación,Cálculo analítico y verificación de la capacidad de evacuación: 1. Determinar el número de ocupantes por sub-zona. 2. Aplicar los factores de carga estipulados por normativa según el uso específico del espacio (FBC tabla 1004.5). 3. Se calcula en función de un ocupante por cada X SF (área bruta o neta según el uso) o mediante asignación fija (ej: número de asientos). 4. Sumar las cargas parciales para obtener la población total de la zona. 5. Anchura requerida de puertas y vías de salida = población total x 0.2 pulgadas. 6. Comprobar que la anchura total provista (suma de vanos reales de evacuación) sea mayor a la requerida.
CALCULATIONS,MIN DIST BTWN EXITS,Minimum Distance Between Exits,Distancia Mínima Entre Salidas,"Separación espacial mínima requerida entre vías de escape. Cuando el código exige un mínimo de 2 salidas, estas deben guardar una distancia geométrica equivalente a: A) mínimo 1/2 de la dimensión de la diagonal total del edificio o sector. B) mínimo 1/3 de dicha diagonal si el edificio cuenta con un sistema automático de rociadores."
CALCULATIONS,FR RTG,Fire Rating,Clasificación Ante Incendios,"Resistencia y clasificación al fuego de elementos arquitectónicos. Cerramientos divisorios entre unidades (units), paredes de corredores comunes y zonas de almacenamiento → típicamente 1 hora (1h). Núcleos de escaleras de escape, huecos de elevador, cuartos de infraestructura eléctrica y shafts mecánicos o tolvas (chutes) → típicamente 2 horas (2h). Sujeto a variaciones de diseño o exigencias hasta 3h. En configuraciones de plantas en ""L"", el rating de protección cortafuegos debe extenderse un mínimo de 10' lineales a partir de la esquina interna."
CALCULATIONS,RF PTCH XS,Roof Pitch Intersection,Intersección De Vertientes De Techo,"Cálculo geométrico de limatesas y limahoyas en cubiertas. Si dos vertientes intersectan con la misma pendiente, el ángulo en planta es de 45º. Con pendientes diferentes, el procedimiento es: 1. Ubicar el punto de inicio de la intersección en el alero del roof plan. 2. Trazar líneas de desfase (offsets) paralelos en cada vertiente a una distancia proporcional a su pendiente. 3. El desfase equivale a la distancia horizontal necesaria para que la vertiente se eleve 1' verticalmente (ej: para pendiente 3:12 es 4'; para 4:12 es 3'; para 6:12 es 2'). 4. El punto de cruce entre ambos offsets determina la directriz y el ángulo de la intersección."
CALCULATIONS,P & P,Push & Pull,Empujar Y Jalar Puertas,"Holguras y distancias libres mínimas de maniobra para la apertura de puertas abatibles (clearances de accesibilidad ADA): A) acceso frontal: lado de jalar (pull) -> mín. 5' perpendicular / mín. 1'-6"" libre al lado del picaporte. Lado de empujar (push) -> mín. 4' perpendicular / 0"" lateral (aumenta a 1' lateral si cuenta con cerradura [latch] y cierrapuertas [closer]). B) acceso por el lado de las bisagras (hinge approach): lado de jalar -> mín. 5' perpendicular / mín. 3' lateral. Lado de empujar -> mín. 3'-6"" perpendicular / mín. 1'-10"" lateral (aumenta a 4' perpendicular si incluye latch y closer). C) acceso por el lado del picaporte (latch approach): lado de jalar -> mín. 4' perpendicular / mín. 2' lateral. Lado de empujar -> mín. 3'-6"" perpendicular / mín. 2' lateral (aumenta a 4' perpendicular si incluye closer)."
CALCULATIONS,SP/DU,Offstreet & Onstreet Parking Count,Conteo De Plazas De Parqueo,"Cómputo de dotación de plazas de estacionamiento exigidas por proyecto. Aunque los ratios específicos dependen del código local de zonificación, las dotaciones de referencia estándar por unidad residencial son: 1 dormitorio (1BD) → 1.5 plazas/DU | 2 dormitorios (2BD) → 1.75 plazas/DU | 3 dormitorios (3BD) → 2 plazas/DU."
CALCULATIONS,SP RATIO,Parking Ratio,Relación De Parqueos,Índice o ratio de estacionamiento. Métrica calculada dividiendo el número total de plazas de parqueo ejecutadas entre el volumen total de unidades habitacionales del proyecto.
CALCULATIONS,BSP/SP,Bicycle Parking Count,Conteo De Parqueos Para Bicicletas,Cómputo de estacionamientos para bicicletas. La tasa de referencia estándar suele exigir 1 plaza para bicicleta por cada 10 plazas vehiculares provistas (sujeto a variaciones según el municipio).
CALCULATIONS,"TO REJECT X"" SPH","To Reject X"" Sphere","Rechazar Esfera De X""","Criterio de seguridad geométrica para aberturas en barandillas y rejillas, impidiendo el paso de una esfera teórica de diámetro ""X"": A) entre balaustres (pickets) o tramas de malla en barandales ordinarios → restringir paso de esfera de 4"". B) hueco triangular formado entre el peldaño, la contrahuella y el carril inferior (bottom rail) en escaleras → restringir paso de esfera de 6"". C) holgura libre entre el carril inferior de la barandilla y la losa de piso terminado (slab) en balcones → restringir paso de esfera de 2""."
CONSTRUCTION MATERIALS,MAT,Material,Material Constructivo,Material constructivo.
CONSTRUCTION MATERIALS,CMU,Concrete Masonry Unit,Bloque De Concreto Pre-Fabricado,"Bloque de concreto pre-fabricado (típicamente de 8”, ocasionalmente de 12”)."
CONSTRUCTION MATERIALS,CIP,Cast In Place,Ejecutado In Situ,Ejecutado in situ.
CONSTRUCTION MATERIALS,PREFAB,Prefabricated,Pre-Fabricado,Pre-fabricado.
CONSTRUCTION MATERIALS,LMC,Least Material Condition,Condición Constructiva Mínima,Condición constructiva con un mínimo uso de material en un área específica.
CONSTRUCTION MATERIALS,BLK,Block,Bloque,Bloque.
CONSTRUCTION MATERIALS,BRK,Brick,Ladrillo,Ladrillo.
CONSTRUCTION MATERIALS,REF BRK,Refractory Brick,Ladrillo Refractario,"Ladrillo refractario (gran resistencia térmica, se utiliza usualmente para chimeneas)."
CONSTRUCTION MATERIALS,CEM,Cement,Cemento,Cemento (conglomerante formado con caliza y arcillas calcinadas. Su principal propiedad es endurecerse tras entrar en contacto con agua).
CONSTRUCTION MATERIALS,CTB,Cement Treated Base,Base De Cemento Tratado,Base de cemento tratado.
CONSTRUCTION MATERIALS,MORT,Mortar,Mortero,"Mortero (mezcla de cemento, arena y agua, útil para aparejar bloques constructivos. Su proporción de agua vs cemento es alta, lo que le da cualidades adhesivas. Pero su resistencia es mucho menor que la del concreto, lo que limita su uso)."
CONSTRUCTION MATERIALS,CONC,Concrete,Concreto,"Concreto (mezcla de cemento, arena y agua, junto con agregados como grava). Su proporción de agua vs cemento es baja, lo que le da cualidades resistivas. Gran versatilidad como material estructural (en conjunción con las varillas de armado)."
CONSTRUCTION MATERIALS,PRE CONC,Precast Concrete,Concreto Pre-Fabricado,Concreto pre-fabricado.
CONSTRUCTION MATERIALS,REBAR,Reinforcing Bar,Varilla De Armado,Varilla de armado.
CONSTRUCTION MATERIALS,RC,Reinforced Concrete,Concreto Reforzado,Concreto reforzado.
CONSTRUCTION MATERIALS,GFRC,Glass Fiber Reinforced Concrete,Concreto Reforzado Con Fibra De Vidrio,Concreto reforzado con fibra de vidrio.
CONSTRUCTION MATERIALS,LWC,Light Weight Concrete,Concreto Ligero,Concreto ligero (por ejemplo para coberturas livianas o realizar nivelaciones).
CONSTRUCTION MATERIALS,WD,Wood,Madera,Madera.
CONSTRUCTION MATERIALS,LMBR,Lumber,Madera Procesada,Madera (ya cortada y/o procesada para construcción).
CONSTRUCTION MATERIALS,SLAT,Slat,Listón De Madera,Listón de madera.
CONSTRUCTION MATERIALS,PT WOOD,Pressure Treated Wood / Green Board,Madera Tratada A Presión,Pieza de madera tratada químicamente para evitar podredumbre o plagas.
CONSTRUCTION MATERIALS,LVL,Laminated Veneer Lumber,Madera Laminada,Madera laminada.
CONSTRUCTION MATERIALS,CLT,Cross Laminated Timber,Madera Laminada Cruzada,Madera laminada cruzada.
CONSTRUCTION MATERIALS,OSB,Oriented Strand Board,Tablero De Madera Conglomerada,Tablero de madera conglomerada (usual en decks).
CONSTRUCTION MATERIALS,MWK,Millwork,Carpintería,Carpintería.
CONSTRUCTION MATERIALS,T&G,Tongue & Groove,Machihembrado,Machihembrado.
CONSTRUCTION MATERIALS,PCS,Pieces,Piezas Constructivas,Piezas constructivas.
CONSTRUCTION MATERIALS,PLWD,Plywood,Plywood,Plywood.
CONSTRUCTION MATERIALS,CDX,Veneer Plywood,Madera Contrachapada,Madera contrachapada (usual en las láminas de revestimiento sobre las cerchas).
CONSTRUCTION MATERIALS,PRODEMA,Prodema,Prodema,Compuesto a base madera con un núcleo de baquelita.
CONSTRUCTION MATERIALS,BD,Board,Tablero,Tablero.
CONSTRUCTION MATERIALS,HDBD,Hardboard,Tablero Melamina,Tablero melamina.
CONSTRUCTION MATERIALS,MDF,Medium Density Fiberboard,Tablero Aglomerado,Tablero aglomerado.
CONSTRUCTION MATERIALS,HDF,High Density Fiberboard / Masonite,Masonita,Masonita.
CONSTRUCTION MATERIALS,MTL,Metal,Metal,Metal.
CONSTRUCTION MATERIALS,HM,Hollow Metal,Metal Hueco,Metal hueco (típico para perfiles de puertas o ventanas).
CONSTRUCTION MATERIALS,ALUM,Aluminum,Aluminio,Aluminio.
CONSTRUCTION MATERIALS,ANOD,Anodized,Anodizado,Anodizado (tratamiento para crear una capa protectora de óxido sobre el aluminio).
CONSTRUCTION MATERIALS,GALV,Galvanized,Galvanizado,Galvanizado (proceso para proteger un metal de la corrosión con una capa de zinc).
CONSTRUCTION MATERIALS,GSM,Galvanized Sheet Metal,Lámina Metálica Galvanizada,Lámina metálica galvanizada.
CONSTRUCTION MATERIALS,STL,Steel,Acero,Acero.
CONSTRUCTION MATERIALS,SS,Stainless Steel,Acero Inoxidable,Acero inoxidable.
CONSTRUCTION MATERIALS,WS,Weathering Steel,Acero Cortén,Acero cortén.
CONSTRUCTION MATERIALS,CI,Cast Iron,Hierro Fundido,Hierro fundido.
CONSTRUCTION MATERIALS,WI,Wrought Iron,Hierro Forjado,Hierro forjado.
CONSTRUCTION MATERIALS,BRZ,Bronze,Bronce,Bronce.
CONSTRUCTION MATERIALS,COP,Copper,Cobre,Cobre.
CONSTRUCTION MATERIALS,BRS,Brass,Latón,Latón.
CONSTRUCTION MATERIALS,ALLOY,Alloy,Aleación,Aleación (mezcla de varios metales).
CONSTRUCTION MATERIALS,WELD,Welding,Soldadura,Soldadura.
CONSTRUCTION MATERIALS,COMPOS,Composite,Compuesto,Compuesto de dos materiales distintos que trabajan mejor juntos que por separado.
CONSTRUCTION MATERIALS,CLAD,Cladding,Revestimiento De Fachada / Cobertura,Material que cubre la superficie de un elemento para protegerlo.
CONSTRUCTION MATERIALS,GYP,Gypsum,Yeso,Yeso.
CONSTRUCTION MATERIALS,GWB,Gypsum Wall Board,Placa De Yeso Laminado,Placa de yeso laminado (para ejecución de paredes interiores y revestimientos).
CONSTRUCTION MATERIALS,DW,Drywall,Placa De Yeso Laminado,Placa de yeso laminado (para ejecución de paredes interiores y revestimientos).
CONSTRUCTION MATERIALS,MAS,Masonry,Mampostería,Mampostería.
CONSTRUCTION MATERIALS,CER,Ceramic,Cerámica,Cerámica.
CONSTRUCTION MATERIALS,CT,Ceramic Tile,Baldosa Cerámica,Baldosa cerámica.
CONSTRUCTION MATERIALS,PAV,Paver,Adoquín,Adoquín.
CONSTRUCTION MATERIALS,LINO,Linoleum,Linóleo,Linóleo (tipo de acabado para pisos).
CONSTRUCTION MATERIALS,VIN,Vinyl,Vinilo,Vinilo (tipo de acabado para pisos).
CONSTRUCTION MATERIALS,LVT,Luxury Vinyl Tile,Baldosa De Vinilo De Lujo,Tipo de acabado para pisos en vinilo (simulando textura de baldosa de piedra).
CONSTRUCTION MATERIALS,LVP,Luxury Vinyl Plank,Tablón De Vinilo De Lujo,Tipo de acabado para pisos en vinilo (simulando textura de madera).
CONSTRUCTION MATERIALS,PVMT,Pavement,Pavimento,Pavimento.
CONSTRUCTION MATERIALS,VTC,Vehicular Traffic Coating,Pavimento Para Tráfico Vehicular,Pavimento para tráfico vehicular (en sitios con gran circulación vehicular: garajes).
CONSTRUCTION MATERIALS,GR,Granite,Granito,Granito.
CONSTRUCTION MATERIALS,MAR,Marble,Mármol,Mármol.
CONSTRUCTION MATERIALS,ST VNR,Stone Veneer,Revestimiento De Piedra,Revestimiento de piedra.
CONSTRUCTION MATERIALS,LMS,Limestone,Piedra Caliza,Piedra caliza.
CONSTRUCTION MATERIALS,SND,Sand,Arena,Arena.
CONSTRUCTION MATERIALS,GL,Glass,Vidrio,Vidrio.
CONSTRUCTION MATERIALS,TGL,Tempered Glass,Vidrio Temperado,Vidrio temperado (tratamiento para aumentar la resistencia del vidrio al impacto).
CONSTRUCTION MATERIALS,FRSTD GL,Frosted Glass,Vidrio Esmerilado / Opacado,Vidrio esmerilado / opacado (tratamiento para crear un efecto translúcido).
CONSTRUCTION MATERIALS,STND GL,Stained Glass,Vitral / Vidriera,Vitral / vidriera.
CONSTRUCTION MATERIALS,BVLD GL,Beveled Glass,Vidrio Biselado,Vidrio biselado.
CONSTRUCTION MATERIALS,GL BLK,Glass Block,Bloque De Vidrio / Vitroblock,Bloque de vidrio / vitroblock.
CONSTRUCTION MATERIALS,GL WL,Glass Wool,Lana De Vidrio,Lana de vidrio (material que sirve como aislante térmico).
CONSTRUCTION MATERIALS,FGL,Fiberglass,Fibra De Vidrio,Fibra de vidrio (material que sirve como aislante térmico).
CONSTRUCTION MATERIALS,PVC,Polyvinyl Chloride,PVC,PVC (cloruro de polivinilo).
CONSTRUCTION MATERIALS,ASPH,Asphalt,Asfalto,Asfalto.
CONSTRUCTION MATERIALS,ASPH SHNG,Asphalt Shingle,Teja Asfáltica,"Teja asfáltica (más económica que la teja regular, pero menos resistente al viento)."
CONSTRUCTION MATERIALS,CONC RF TL,Concrete Tile,Teja De Concreto,"Teja de concreto (muy resistente y durable, generalmente se utiliza la plana)."
CONSTRUCTION MATERIALS,SPAN/BRRL TL,Spanish Tile / Barrel Tile,Teja Cerámica / Teja Árabe,"Teja cerámica (cara pero muy resistente, sólo en pendientes mayores a 4:12)."
CONSTRUCTION MATERIALS,RF TL,Roof Tile,Teja Regular,Teja regular.
CONSTRUCTION MATERIALS,STND SEAM,Standing Seam,Junta Alzada,Sistema de paneles metálicos unidos con juntas verticales estancas (en techos).
CONSTRUCTION MATERIALS,TPO,Thermoplastic Polyolefin,Poliolefina Termoplástica,Poliolefina termoplástica (se usa en techos planos para evitar absorción de calor).
CONSTRUCTION MATERIALS,BENTO,Bentonite,Bentonita,"Bentonita (se usa para impermeabilización, típico en los fosos de elevadores)."
CONSTRUCTION MATERIALS,EPX,Epoxy,Resina Epoxy,Resina epoxy.
CONSTRUCTION MATERIALS,FOAM,Foam,Espuma / Estereofón,Espuma / styrofoam (estereofón).
CONSTRUCTION MATERIALS,EPS,Expanded Polystyrene,Poliestireno Expandido,Poliestireno expandido / styrofoam (estereofón).
CONSTRUCTION MATERIALS,INTUM,Intumescent,Material Intumescente,Material que se hincha por la exposición al calor (típico en pinturas para protección).
CONSTRUCTION MATERIALS,PLAS,Plastic,Plástico,Plástico.
CONSTRUCTION MATERIALS,ADH,Adhesive,Adhesivo,Adhesivo.
CONSTRUCTION MATERIALS,GLUE,Glue,Goma Adhesiva,Goma adhesiva.
CONSTRUCTION MATERIALS,RBR,Rubber,Hule / Caucho,Hule.
CONSTRUCTION MATERIALS,FAB,Fabric,Tela / Tejido,Tela.
CONSTRUCTION MATERIALS,CANV,Canvas,Lona,Lona (tejido robusto y frecuentemente impermeable).
CONSTRUCTION MATERIALS,STCO,Stucco,Estuco,Estuco.
CONSTRUCTION MATERIALS,SHTHG,Sheathing,Revestimiento / Entablado,Revestimiento.
CONSTRUCTION MATERIALS,MEMB,Membrane,Membrana,Membrana.
CONSTRUCTION MATERIALS,WRP,Wrap,Envoltura / Barrera,Envoltura.
CONSTRUCTION MATERIALS,FIN,Finish,Repello / Acabado Superficial,Repello.
CONSTRUCTION MATERIALS,K/D FIN,Knockdown Finish,Repellado Rugoso / Texturizado,Repellado rugoso / con texturizado.
CONSTRUCTION MATERIALS,BROOM FIN,Broom Finish,Repellado Con Cepillo,Repellado (con cepillo).
CONSTRUCTION MATERIALS,POLSHD,Polished,Pulido,Pulido.
CONSTRUCTION MATERIALS,PNT,Paint,Pintura,Pintura.
CONSTRUCTION MATERIALS,PNTD,Painted,Pintado,Pintado.
CONSTRUCTION MATERIALS,PRIMER,Primer,Imprimación / Primera Capa,Primera capa de pintura (la base para sucesivas capas).
CONSTRUCTION MATERIALS,COAT,Coat / Coating,Capa Superficial / Revestimiento,Capa superficial de un material aplicada sobre otro.
CONSTRUCTION MATERIALS,EXPO,Exposed,Expuesto / Visto,"Expuesto / visto (material mostrado tal como es sin revestir, eg: concreto expuesto)."
CONSTRUCTION MATERIALS,PALLET,Pallet,Pallet / Palé,Pallet (plataforma de madera para mover o almacenar materiales/elementos en obra).
CONSTRUCTION MATERIALS,STKPILE,Stockpile,Acopio De Material,Acopio de material (generalmente en obra).
CONSTRUCTION ELEMENTS,CONST,Construction,Construcción,Construcción.
CONSTRUCTION ELEMENTS,EWS,External Wall System,Sistema De Muros Perimetrales,Sistema de muros perimetrales.
CONSTRUCTION ELEMENTS,VBS,Vanilla Box Shell,Espacio En Bruto,Espacio construido vacío para que el cliente tenga libertad de customizar el interior.
CONSTRUCTION ELEMENTS,LBW,Load Bearing Wall,Muro De Carga,Muro de carga (pared con función estructural).
CONSTRUCTION ELEMENTS,NBW,Non Bearing Wall,Muro No Estructural,Muro no estructural (soporta únicamente su propio peso).
CONSTRUCTION ELEMENTS,SHR WALL,Shear Wall,Muro Cortante,"Muro cortante (posee gran resistencia a esfuerzos laterales, como viento o sismos)."
CONSTRUCTION ELEMENTS,TNL WALL,Tunnel Wall,Pared Tipo Túnel,"Pared ""tipo túnel"" (para estructuras modulares o repetitivas, agiliza la construcción)."
CONSTRUCTION ELEMENTS,RTN WALL,Retaining Wall,Muro De Retención,Muro de retención (su función es retener masas de terreno).
CONSTRUCTION ELEMENTS,BULKHD,Bulkhead,Muro De Retención Marítimo,"Muro de retención (retiene tierra a un lado del muro, mientras que al otro hay agua)."
CONSTRUCTION ELEMENTS,DMS WALL,Demising Wall,Pared Divisoria / Medianera,Pared divisoria / medianera.
CONSTRUCTION ELEMENTS,CRTN WALL,Curtain Wall,Muro Cortina,Muro cortina (sistema exterior auto-portante generalmente ligero y acristalado). Sistema recomendable para acristalamientos de más de 12' de alto.
CONSTRUCTION ELEMENTS,BLND WALL,Blind Wall,Muro Ciego,Muro exterior sin ventanas ni puertas.
CONSTRUCTION ELEMENTS,GRN WALL,Green Wall,Muro Verde,Muro cubierto de vegetación.
CONSTRUCTION ELEMENTS,PRV WALL,Privacy Wall,Muro De Privacidad,Muro de separación entre balcones contiguos de unidades diferentes.
CONSTRUCTION ELEMENTS,LW WALL,Low Wall,Pared Baja / Murete,Pared baja / murete.
CONSTRUCTION ELEMENTS,PARAP,Parapet,Parapeto,Parapeto.
CONSTRUCTION ELEMENTS,PTN,Partition,Tabique / Pared Liviana,"Tabique / pared liviana (sin función estructural, sólo de división espacial)."
CONSTRUCTION ELEMENTS,BTTR,Batter,Talud,Talud.
CONSTRUCTION ELEMENTS,COL,Column,Columna,Columna.
CONSTRUCTION ELEMENTS,PIL,Pillar,Pillar,"Pilar (frecuentemente es sinónimo de columna, pero en ocasiones también puede ser un elemento decorativo aislado, sin función estructural)."
CONSTRUCTION ELEMENTS,PILSTR,Pilaster,Pilastra,Pilastra (usualmente de sección rectangular y semi-embebida contra una pared).
CONSTRUCTION ELEMENTS,PDSTL,Pedestal,Pedestal,Base de apoyo de una columna.
CONSTRUCTION ELEMENTS,SLB,Slab,Losa,Losa.
CONSTRUCTION ELEMENTS,1-W JST SLB,One Way Joist Slab,Losa Unidireccional,Losa unidireccional (cuyas viguetas van sólo en una dirección).
CONSTRUCTION ELEMENTS,2-W JST SLB,Two Way Joist Slab,Losa Bidireccional,Losa bidireccional (cuyas viguetas se entrecruzan en forma de retícula).
CONSTRUCTION ELEMENTS,WFL SLB,Waffle Slab,Losa Reticular / Waffle,Losa bidireccional (cuyas viguetas se entrecruzan en forma de retícula).
CONSTRUCTION ELEMENTS,FND SLB,Foundation Slab,Losa De Cimentación,Losa de cimentación.
CONSTRUCTION ELEMENTS,WRP SLB,Warp Slab,Losa Alabeada,Losa alabeada (inclinada siguiendo una curvatura alabeada).
CONSTRUCTION ELEMENTS,TOPPING SLB,Topping Slab,Losa De Cobertura,Losa de cobertura (se cubre una losa ya existente con un concreto resistente).
CONSTRUCTION ELEMENTS,RC SLAB,Reinforced Concrete Slab,Losa De Concreto Reforzado,Losa de concreto reforzado (la losa de uso más habitual).
